sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,upper_body,has_nutrition_control,hedges_g,hyp_class
15.0,15.0,5.0,5.0,157.5,10.5,2.0,100.0,1,8.0,0,1.0,23.0,0,0,0.68,Medium
9.0,9.0,3.0,3.0,94.5,10.5,2.0,100.0,1,8.0,0,1.0,23.0,0,0,0.56,Medium
6.0,6.0,2.0,2.0,63.0,10.5,2.0,100.0,1,8.0,0,1.0,23.0,0,0,0.66,Medium
24.0,12.0,3.0,3.0,216.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,1,0,0.65,Medium
16.0,12.0,3.0,3.0,144.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,1,0,0.87,High
12.0,4.0,1.0,3.0,108.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,0,0,0.25,Medium
12.0,12.0,3.0,3.0,108.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,0,0,0.56,Medium
24.0,12.0,6.0,6.0,216.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,1,0,-0.11,Low
16.0,12.0,6.0,6.0,144.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,1,0,0.83,High
12.0,4.0,2.0,6.0,108.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,0,0,0.51,Medium
12.0,12.0,6.0,6.0,108.0,9.0,1.25,100.0,1,6.0,2,1.0,22.6,0,0,0.61,Medium
12.0,12.0,2.0,2.0,123.0,10.25,2.0,33.33,0,8.0,2,1.0,21.5,0,0,0.35,Medium
12.0,12.0,2.0,2.0,123.0,10.25,2.0,33.33,0,8.0,2,1.0,21.5,0,0,0.34,Medium
18.0,18.0,2.0,2.0,184.5,10.25,2.0,22.22,0,8.0,2,1.0,20.7,0,0,0.37,Medium
18.0,18.0,2.0,2.0,184.5,10.25,2.0,22.22,0,8.0,2,1.0,20.7,0,0,0.28,Medium
24.0,24.0,2.0,2.0,246.0,10.25,2.0,16.67,0,8.0,2,1.0,23.5,0,0,0.19,Low
24.0,24.0,2.0,2.0,246.0,10.25,2.0,16.67,0,8.0,2,1.0,23.5,0,0,0.62,Medium
4.0,4.0,2.0,4.0,40.0,10.0,2.0,100.0,1,6.0,2,1.0,21.0,0,0,0.13,Low
16.0,8.0,2.0,4.0,160.0,10.0,2.0,100.0,1,6.0,2,1.0,21.0,1,0,0.13,Low
20.0,8.0,2.0,4.0,200.0,10.0,2.0,100.0,1,6.0,2,1.0,21.0,1,0,0.14,Low
4.0,4.0,1.0,2.0,40.0,10.0,2.0,100.0,1,6.0,2,1.0,28.0,0,0,0.16,Low
16.0,8.0,1.0,2.0,160.0,10.0,2.0,100.0,1,6.0,2,1.0,28.0,1,0,0.24,Medium
20.0,8.0,1.0,2.0,200.0,10.0,2.0,100.0,1,6.0,2,1.0,28.0,1,0,0.18,Low
2.0,2.0,2.0,2.0,19.2,9.6,2.0,0.0,0,12.0,0,1.0,25.0,1,0,0.31,Medium
6.0,6.0,2.0,2.0,52.2,8.7,2.0,0.0,0,12.0,0,1.0,25.0,1,0,0.69,Medium
2.0,2.0,2.0,2.0,20.0,10.0,2.33,100.0,1,12.0,0,1.0,22.2,1,0,0.51,Medium
6.0,6.0,2.0,2.0,60.0,10.0,2.33,100.0,1,12.0,0,1.0,22.2,0,0,0.12,Low
6.0,6.0,2.0,2.0,60.0,10.0,2.33,100.0,1,12.0,0,1.0,23.4,1,0,0.43,Medium
2.0,2.0,2.0,2.0,20.0,10.0,2.33,100.0,1,12.0,0,1.0,23.4,0,0,-0.19,Low
3.0,1.0,1.0,4.0,28.8,9.6,3.0,100.0,1,10.0,2,1.0,23.2,0,0,0.26,Medium
3.0,1.0,1.0,4.0,28.8,9.6,3.0,100.0,1,10.0,2,1.0,23.2,0,0,0.25,Medium
