number,first.author,year,design,upper.lower,age,sex.male,train.status,body.mass,years.exp,sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure.nonfailure.mixed.direct,weeks,nutrition.controlled.surplus?,nutrition.controlled.deficit?,pre.mean,post.mean,pre.sd,post.sd,n,measure,outcome,hedges_g,volume_category,failure_binary,nutrition_category,train_status_enc,upper_body,hyp_class
13,Correa,2022,between,upper,26.3,100.0,trained,79.7,3.07,32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,28.1,31.7,5.5,4.0,9,Biceps MT,Hypertrophy,0.713,High,1,None,2,1,Medium
13,Correa,2022,between,upper,26.3,100.0,trained,79.7,3.07,32.0,16.0,2.0,4.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,44.2,47.8,4.9,4.0,9,Triceps MT,Hypertrophy,0.7666,High,1,None,2,1,Medium
13,Correa,2022,between,lower,26.3,100.0,trained,79.7,3.07,32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,43.6,48.3,7.2,7.7,9,Vastus Lateralis MT,Hypertrophy,0.6005,High,1,None,2,0,Medium
13,Correa,2022,between,lower,26.3,100.0,trained,79.7,3.07,32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,43.7,47.2,7.7,7.6,9,Anterior Quad MT,Hypertrophy,0.4357,High,1,None,2,0,Medium
13,Correa,2022,between,upper,26.3,100.0,trained,79.7,3.07,32.0,32.0,2.0,4.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,33.1,36.4,3.6,6.5,9,Pec MT,Hypertrophy,0.5982,High,1,None,2,1,Medium
13,Correa,2022,between,upper,24.9,100.0,trained,81.4,3.03,32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,28.6,32.5,3.4,4.2,9,Biceps MT,Hypertrophy,0.9721,High,1,None,2,1,High
13,Correa,2022,between,upper,24.9,100.0,trained,81.4,3.03,32.0,16.0,4.0,8.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,44.0,46.3,6.8,9.2,9,Triceps MT,Hypertrophy,0.2708,High,1,None,2,1,Medium
13,Correa,2022,between,lower,24.9,100.0,trained,81.4,3.03,32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,43.5,47.8,4.2,5.6,9,Vastus Lateralis MT,Hypertrophy,0.8274,High,1,None,2,0,High
13,Correa,2022,between,lower,24.9,100.0,trained,81.4,3.03,32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,44.0,48.3,4.0,4.8,9,Anterior Quad MT,Hypertrophy,0.9269,High,1,None,2,0,High
13,Correa,2022,between,upper,24.9,100.0,trained,81.4,3.03,32.0,32.0,4.0,8.0,288.0,9.0,1.5,100.0,failure,8.0,No,No,36.4,38.6,7.5,7.7,9,Pec MT,Hypertrophy,0.2757,High,1,None,2,1,Medium
14,Zaroni,2019,between,upper,25.6,100.0,trained,83.4,6.4,30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,failure,8.0,No,No,44.9,48.7,5.7,5.5,9,Biceps MT,Hypertrophy,0.6462,High,1,None,2,1,Medium
14,Zaroni,2019,between,upper,25.6,100.0,trained,83.4,6.4,30.0,15.0,5.0,5.0,330.0,11.0,1.0,100.0,failure,8.0,No,No,44.4,49.4,4.2,4.2,9,Triceps MT,Hypertrophy,1.1338,High,1,None,2,1,High
14,Zaroni,2019,between,lower,25.6,100.0,trained,83.4,6.4,12.0,12.0,4.0,5.0,132.0,11.0,1.0,100.0,failure,8.0,No,No,47.6,52.2,4.3,3.2,9,Vastus Lateralis MT,Hypertrophy,1.1559,Moderate,1,None,2,0,High
14,Zaroni,2019,between,upper,26.4,100.0,trained,84.4,6.6,30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,failure,8.0,No,No,40.1,41.6,6.2,6.3,9,Biceps MT,Hypertrophy,0.2286,High,1,None,2,1,Medium
14,Zaroni,2019,between,upper,26.4,100.0,trained,84.4,6.6,30.0,15.0,1.0,5.0,330.0,11.0,1.0,100.0,failure,8.0,No,No,43.9,46.4,5.4,5.7,9,Triceps MT,Hypertrophy,0.4288,High,1,None,2,1,Medium
14,Zaroni,2019,between,lower,26.4,100.0,trained,84.4,6.6,12.0,12.0,1.0,5.0,132.0,11.0,1.0,100.0,failure,8.0,No,No,45.5,47.9,3.3,2.8,9,Vastus Lateralis MT,Hypertrophy,0.7469,Moderate,1,None,2,0,Medium
17,Gentil,2018,between,upper,21.7,100.0,trained,78.3,1.2,12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,failure,10.0,No,No,37.0,38.1,4.9,5.1,8,Elbow Flexor MT,Hypertrophy,0.208,Moderate,1,None,2,1,Medium
17,Gentil,2018,between,upper,22.8,100.0,trained,81.7,1.4,12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,failure,10.0,No,No,35.7,36.1,4.3,4.1,8,Elbow Flexor MT,Hypertrophy,0.09,Moderate,1,None,2,1,Low
18,Schoenfeld,2019,between,upper,23.8,100.0,trained,82.5,4.4,6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,failure,8.0,No,No,42.6,43.3,4.3,5.1,11,Elbow Flexor MT,Hypertrophy,0.1428,Low,1,None,2,1,Low
18,Schoenfeld,2019,between,upper,23.8,100.0,trained,82.5,4.4,6.0,0.0,0.0,3.0,60.0,10.0,1.5,100.0,failure,8.0,No,No,47.2,47.7,4.5,4.6,11,Elbow Extensor MT,Hypertrophy,0.1057,Low,1,None,2,1,Low
18,Schoenfeld,2019,between,lower,23.8,100.0,trained,82.5,4.4,9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,failure,8.0,No,No,59.7,61.7,6.7,5.5,11,Mid-Thigh MT,Hypertrophy,0.3139,Moderate,1,None,2,0,Medium
18,Schoenfeld,2019,between,lower,23.8,100.0,trained,82.5,4.4,9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,failure,8.0,No,No,57.5,60.4,6.0,6.3,11,Lateral Thigh MT,Hypertrophy,0.4535,Moderate,1,None,2,0,Medium
18,Schoenfeld,2019,between,upper,23.8,100.0,trained,82.5,4.4,18.0,0.0,0.0,3.0,180.0,10.0,1.5,100.0,failure,8.0,No,No,44.6,46.7,5.9,5.8,12,Elbow Flexor MT,Hypertrophy,0.3466,High,1,None,2,1,Medium
